execution,n_threads,time
1,1,26.9479
2,1,26.7378
3,1,27.1449
4,1,27.0658
5,1,26.6784
6,1,26.9126
7,1,26.9285
8,1,26.5673
9,1,26.7825
10,1,26.8464
11,1,26.7516
12,1,27.0096
13,1,27.0108
14,1,26.7842
15,1,26.8561
