execution,n_threads,n_process,time
1,4,2,14.75681
2,4,2,14.34165
3,4,2,14.55248
1,8,2,13.64664
2,8,2,13.56709
3,8,2,12.82745
1,4,4,12.14136
2,4,4,12.68574
3,4,4,12.20502
1,8,4,11.93630
2,8,4,12.73504
3,8,4,12.29882
