execution,n_threads,n_process,time
14,16,8,4.18935
15,16,8,4.22340
1,32,8,4.31972
2,32,8,4.54456
3,32,8,4.02278
4,32,8,4.39315
5,32,8,4.74883
6,32,8,4.34583
7,32,8,4.01549
8,32,8,4.47240
9,32,8,4.87812
10,32,8,3.86871
11,32,8,4.28279
12,32,8,3.95330
13,32,8,3.83745
14,32,8,4.48930
15,32,8,5.45512
1,1,16,6.01682
2,1,16,5.80122
3,1,16,6.00116
4,1,16,6.95702
5,1,16,4.99391
6,1,16,5.83247
7,1,16,5.31829
8,1,16,5.18507
9,1,16,5.28664
10,1,16,5.74743
11,1,16,5.40925
12,1,16,5.31130
13,1,16,6.00303
14,1,16,5.37085
15,1,16,5.02809
1,2,16,4.56262
2,2,16,4.88592
3,2,16,5.87303
4,2,16,4.90287
5,2,16,5.13973
6,2,16,4.48840
7,2,16,5.53712
8,2,16,5.58097
9,2,16,4.32683
10,2,16,4.53235
11,2,16,4.86979
12,2,16,5.68426
13,2,16,5.35494
14,2,16,5.71190
15,2,16,5.54521
1,4,16,5.32950
2,4,16,4.32705
3,4,16,5.09395
4,4,16,5.43328
5,4,16,4.99769
6,4,16,5.31126
7,4,16,5.22930
8,4,16,5.98419
9,4,16,4.44007
10,4,16,4.38705
11,4,16,4.26656
12,4,16,4.14043
13,4,16,4.10845
14,4,16,4.33435
15,4,16,4.24602
1,8,16,4.08530
2,8,16,4.02466
3,8,16,4.30409
4,8,16,3.92471
5,8,16,4.20714
6,8,16,3.75680
7,8,16,4.36656
8,8,16,4.28194
9,8,16,3.84570
10,8,16,4.43277
11,8,16,4.36547
12,8,16,3.80382
13,8,16,4.40860
14,8,16,4.11304
15,8,16,4.29009
1,16,16,4.43080
2,16,16,4.50862
3,16,16,3.96768
4,16,16,4.45236
5,16,16,4.00190
6,16,16,4.55397
7,16,16,4.52177
8,16,16,4.16894
9,16,16,4.13209
10,16,16,4.71706
11,16,16,4.26742
12,16,16,4.80914
13,16,16,4.73373
14,16,16,4.56223
15,16,16,5.11394
1,32,16,4.65506
2,32,16,3.95470
3,32,16,4.74729
4,32,16,4.41157
5,32,16,4.48820
6,32,16,4.11685
7,32,16,4.21590
8,32,16,4.20070
9,32,16,4.60523
10,32,16,5.05084
11,32,16,4.88039
12,32,16,4.29200
13,32,16,4.73123
14,32,16,4.31503
15,32,16,4.39362
