execution,n_threads,n_process,time,,,,,,,,,,,,,,
1,4,4,6.5877,,,,,,,,,,,,,,
2,4,4,6.8910,,,,,,,,,,,,,,
3,4,4,6.2755,,,,,,,,,,,,,,
4,4,4,6.0516,,,,,,,,,,,,,,
5,4,4,6.4260,,,,,,,,,,,,,,
6,4,4,6.2238,,,,,,,,,,,,,,
7,4,4,6.2792,,,,,,,,,,,,,,
8,4,4,5.8634,,,,,,,,,,,,,,
9,4,4,5.8231,,,,,,,,,,,,,,
10,4,4,6.1792,,,,,,,,,,,,,,
11,4,4,6.2434,,,,,,,,,,,,,,
12,4,4,6.1557,,,,,,,,,,,,,,
13,4,4,6.2447,,,,,,,,,,,,,,
14,4,4,6.4575,,,,,,,,,,,,,,
15,4,4,6.6270,,,,,,,,,,,,,,
1,8,4,5.7253,,,,,,,,,,,,,,
2,8,4,5.5977,,,,,,,,,,,,,,
3,8,4,5.5101,,,,,,,,,,,,,,
4,8,4,5.3517,,,,,,,,,,,,,,
5,8,4,5.3947,,,,,,,,,,,,,,
6,8,4,5.4951,,,,,,,,,,,,,,
7,8,4,5.3951,,,,,,,,,,,,,,
8,8,4,5.2525,,,,,,,,,,,,,,
9,8,4,5.3539,,,,,,,,,,,,,,
10,8,4,5.5123,,,,,,,,,,,,,,
11,8,4,5.9762,,,,,,,,,,,,,,
12,8,4,6.5925,,,,,,,,,,,,,,
13,8,4,5.2104,,,,,,,,,,,,,,
14,8,4,5.4076,,,,,,,,,,,,,,
15,8,4,5.3641,,,,,,,,,,,,,,
1,16,4,5.2967,,,,,,,,,,,,,,
2,16,4,5.1554,,,,,,,,,,,,,,
3,16,4,5.3235,,,,,,,,,,,,,,
4,16,4,5.7403,,,,,,,,,,,,,,
5,16,4,5.3793,,,,,,,,,,,,,,
6,16,4,5.4002,,,,,,,,,,,,,,
7,16,4,5.2982,,,,,,,,,,,,,,
8,16,4,5.5123,,,,,,,,,,,,,,
9,16,4,5.8010,,,,,,,,,,,,,,
10,16,4,6.1289,,,,,,,,,,,,,,
11,16,4,5.2967,,,,,,,,,,,,,,
12,16,4,5.4630,,,,,,,,,,,,,,
13,16,4,5.6005,,,,,,,,,,,,,,
14,16,4,5.1526,,,,,,,,,,,,,,
15,16,4,5.2112,,,,,,,,,,,,,,
1,32,4,5.2289,,,,,,,,,,,,,,
2,32,4,5.1082,,,,,,,,,,,,,,
3,32,4,5.3038,,,,,,,,,,,,,,
4,32,4,5.2432,,,,,,,,,,,,,,
5,32,4,5.6328,,,,,,,,,,,,,,
6,32,4,5.4476,,,,,,,,,,,,,,
7,32,4,5.2825,,,,,,,,,,,,,,
8,32,4,5.2573,,,,,,,,,,,,,,
9,32,4,5.6226,,,,,,,,,,,,,,
10,32,4,5.6734,,,,,,,,,,,,,,
11,32,4,5.3794,,,,,,,,,,,,,,
12,32,4,5.8680,,,,,,,,,,,,,,
13,32,4,5.5575,,,,,,,,,,,,,,
14,32,4,5.4145,,,,,,,,,,,,,,
15,32,4,5.2364,,,,,,,,,,,,,,
1,1,8,7.4049,,,,,,,,,,,,,,
2,1,8,7.3467,,,,,,,,,,,,,,
3,1,8,7.2872,,,,,,,,,,,,,,
4,1,8,7.5427,,,,,,,,,,,,,,
5,1,8,7.2693,,,,,,,,,,,,,,
6,1,8,7.8216,,,,,,,,,,,,,,
7,1,8,7.3397,,,,,,,,,,,,,,
8,1,8,7.6551,,,,,,,,,,,,,,
9,1,8,7.2310,,,,,,,,,,,,,,
10,1,8,7.4116,,,,,,,,,,,,,,
11,1,8,7.5356,,,,,,,,,,,,,,
12,1,8,7.3536,,,,,,,,,,,,,,
13,1,8,7.5111,,,,,,,,,,,,,,
14,1,8,7.2278,,,,,,,,,,,,,,
15,1,8,7.5767,,,,,,,,,,,,,,
1,2,8,5.7632,,,,,,,,,,,,,,
2,2,8,5.7434,,,,,,,,,,,,,,
3,2,8,6.3767,,,,,,,,,,,,,,
4,2,8,5.8338,,,,,,,,,,,,,,
5,2,8,6.0793,,,,,,,,,,,,,,
6,2,8,6.3114,,,,,,,,,,,,,,
7,2,8,5.8192,,,,,,,,,,,,,,
8,2,8,5.5748,,,,,,,,,,,,,,
9,2,8,6.4380,,,,,,,,,,,,,,
10,2,8,5.7108,,,,,,,,,,,,,,
11,2,8,6.2617,,,,,,,,,,,,,,
12,2,8,6.1532,,,,,,,,,,,,,,
13,2,8,5.6170,,,,,,,,,,,,,,
14,2,8,5.6517,,,,,,,,,,,,,,
15,2,8,5.7427,,,,,,,,,,,,,,
1,4,8,5.1917,,,,,,,,,,,,,,
2,4,8,5.0990,,,,,,,,,,,,,,
3,4,8,5.0919,,,,,,,,,,,,,,
4,4,8,5.0570,,,,,,,,,,,,,,
5,4,8,5.1968,,,,,,,,,,,,,,
6,4,8,5.1433,,,,,,,,,,,,,,
7,4,8,4.9794,,,,,,,,,,,,,,
8,4,8,5.0982,,,,,,,,,,,,,,
9,4,8,5.1089,,,,,,,,,,,,,,
10,4,8,5.0658,,,,,,,,,,,,,,
11,4,8,4.9351,,,,,,,,,,,,,,
12,4,8,4.9822,,,,,,,,,,,,,,
13,4,8,5.1915,,,,,,,,,,,,,,
14,4,8,4.9868,,,,,,,,,,,,,,
15,4,8,4.9123,,,,,,,,,,,,,,
1,8,8,5.1329,,,,,,,,,,,,,,
2,8,8,5.1689,,,,,,,,,,,,,,
3,8,8,5.0108,,,,,,,,,,,,,,
4,8,8,5.1761,,,,,,,,,,,,,,
5,8,8,5.0620,,,,,,,,,,,,,,
6,8,8,5.0899,,,,,,,,,,,,,,
7,8,8,5.1271,,,,,,,,,,,,,,
8,8,8,5.1435,,,,,,,,,,,,,,
9,8,8,5.0047,,,,,,,,,,,,,,
10,8,8,5.0190,,,,,,,,,,,,,,
11,8,8,5.0272,,,,,,,,,,,,,,
12,8,8,5.4377,,,,,,,,,,,,,,
13,8,8,5.0048,,,,,,,,,,,,,,
14,8,8,4.7308,,,,,,,,,,,,,,
15,8,8,5.0675,,,,,,,,,,,,,,
1,16,8,5.0180,,,,,,,,,,,,,,
2,16,8,4.9935,,,,,,,,,,,,,,
3,16,8,5.3873,,,,,,,,,,,,,,
4,16,8,4.8870,,,,,,,,,,,,,,
5,16,8,4.9564,,,,,,,,,,,,,,
6,16,8,4.8592,,,,,,,,,,,,,,
7,16,8,5.1904,,,,,,,,,,,,,,
8,16,8,4.8718,,,,,,,,,,,,,,
9,16,8,5.3217,,,,,,,,,,,,,,
10,16,8,4.9544,,,,,,,,,,,,,,
11,16,8,4.9724,,,,,,,,,,,,,,
12,16,8,5.1710,,,,,,,,,,,,,,
13,16,8,5.3511,,,,,,,,,,,,,,
14,16,8,4.9622,,,,,,,,,,,,,,
15,16,8,5.2145,,,,,,,,,,,,,,
1,32,8,5.2808,,,,,,,,,,,,,,
2,32,8,5.0263,,,,,,,,,,,,,,
3,32,8,4.9460,,,,,,,,,,,,,,
4,32,8,5.1584,,,,,,,,,,,,,,
5,32,8,4.9104,,,,,,,,,,,,,,
6,32,8,4.9761,,,,,,,,,,,,,,
7,32,8,5.0856,,,,,,,,,,,,,,
8,32,8,5.2176,,,,,,,,,,,,,,
9,32,8,5.0638,,,,,,,,,,,,,,
10,32,8,5.1036,,,,,,,,,,,,,,
11,32,8,4.9541,,,,,,,,,,,,,,
12,32,8,5.3406,,,,,,,,,,,,,,
13,32,8,5.0895,,,,,,,,,,,,,,
14,32,8,5.1938,,,,,,,,,,,,,,
15,32,8,5.1380,,,,,,,,,,,,,,
1,1,16,5.8615,,,,,,,,,,,,,,
2,1,16,6.0796,,,,,,,,,,,,,,
3,1,16,5.9644,,,,,,,,,,,,,,
4,1,16,6.3772,,,,,,,,,,,,,,
5,1,16,6.2488,,,,,,,,,,,,,,
6,1,16,6.0169,,,,,,,,,,,,,,
7,1,16,6.0378,,,,,,,,,,,,,,
8,1,16,5.5672,,,,,,,,,,,,,,
9,1,16,6.5188,,,,,,,,,,,,,,
10,1,16,6.4634,,,,,,,,,,,,,,
11,1,16,5.6216,,,,,,,,,,,,,,
12,1,16,6.1558,,,,,,,,,,,,,,
13,1,16,6.1983,,,,,,,,,,,,,,
14,1,16,5.8501,,,,,,,,,,,,,,
15,1,16,6.1848,,,,,,,,,,,,,,
